ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents
2021-08-06T20:33:10+0200,C3wjui1CkiAxIGQtcb,10.1.1.155,61438,10.1.1.10,8085,tcp,-,0.003491,0,0,REJ,-,-,0,Sr,1,44,1,40,-
2021-08-06T20:33:10+0200,CfwV1Z1HGpGlt6VREl,10.1.1.155,61438,10.1.1.10,691,tcp,-,0.003405,0,0,REJ,-,-,0,Sr,1,44,1,40,-
2021-08-06T20:33:10+0200,C8NF5f4WGnFKK9Mdhl,10.1.1.155,61438,10.1.1.10,726,tcp,-,0.003556,0,0,REJ,-,-,0,Sr,1,44,1,40,-
2021-08-06T20:33:10+0200,CPR7pK31TICeN84D44,10.1.1.155,61438,10.1.1.10,543,tcp,-,0.003482,0,0,REJ,-,-,0,Sr,1,44,1,40,-
2021-08-06T20:33:10+0200,CnsXnk3pphOfW9sSOg,10.1.1.155,61438,10.1.1.10,49167,tcp,-,0.004252,0,0,REJ,-,-,0,Sr,1,44,1,40,-
2021-08-06T20:33:10+0200,C1xcK74ikGG5a7xBWc,10.1.1.155,61438,10.1.1.10,2557,tcp,-,0.004808,0,0,REJ,-,-,0,Sr,1,44,1,40,-
2021-08-06T20:33:10+0200,CKd2572MMFH6Zj0JO6,10.1.1.155,61438,10.1.1.10,3390,tcp,-,0.005261,0,0,REJ,-,-,0,Sr,1,44,1,40,-
2021-08-06T20:33:10+0200,C7iauu3St5Zw5cZKM,10.1.1.155,61438,10.1.1.10,8100,tcp,-,0.005226,0,0,REJ,-,-,0,Sr,1,44,1,40,-
2021-08-06T20:33:10+0200,CW9YmZb6W8gHTUkAh,10.1.1.155,61438,10.1.1.10,1999,tcp,-,0.005192,0,0,REJ,-,-,0,Sr,1,44,1,40,-
2021-08-06T20:33:10+0200,CSiUM34qDJRgrKzXYj,10.1.1.155,61438,10.1.1.10,15002,tcp,-,0.004970,0,0,REJ,-,-,0,Sr,1,44,1,40,-
2021-08-06T20:33:10+0200,CAZPjx3KAEwnD4m54f,10.1.1.155,61438,10.1.1.10,2717,tcp,-,0.004843,0,0,REJ,-,-,0,Sr,1,44,1,40,-
2021-08-06T20:33:10+0200,CXLd9J3QT8JOhZHpN7,10.1.1.155,61438,10.1.1.10,10003,tcp,-,0.004764,0,0,REJ,-,-,0,Sr,1,44,1,40,-
2021-08-06T20:33:10+0200,C31kOK2rIlfINt9Ei7,10.1.1.155,61438,10.1.1.10,1065,tcp,-,0.005242,0,0,REJ,-,-,0,Sr,1,44,1,40,-
2021-08-06T20:33:10+0200,Cq4FfoAGLCiBdHLe5,10.1.1.155,61438,10.1.1.10,10009,tcp,-,0.005468,0,0,REJ,-,-,0,Sr,1,44,1,40,-
2021-08-06T20:33:10+0200,C4Ro5M1MU6QPzJVS6i,10.1.1.155,61438,10.1.1.10,49400,tcp,-,0.005546,0,0,REJ,-,-,0,Sr,1,44,1,40,-
2021-08-06T20:33:10+0200,CismoOsWRvoN3xqtj,10.1.1.155,61438,10.1.1.10,1287,tcp,-,0.005652,0,0,REJ,-,-,0,Sr,1,44,1,40,-
2021-08-06T20:33:10+0200,CeonnRmpQTayKte0j,10.1.1.155,61438,10.1.1.10,49,tcp,-,0.005736,0,0,REJ,-,-,0,Sr,1,44,1,40,-
2021-08-06T20:33:10+0200,CTq72V2YK73lisBXw1,10.1.1.155,61438,10.1.1.10,1201,tcp,-,0.005806,0,0,REJ,-,-,0,Sr,1,44,1,40,-
2021-08-06T20:33:10+0200,CjTI3n4tJ1G7NTMZrh,10.1.1.155,61438,10.1.1.10,27000,tcp,-,0.005692,0,0,REJ,-,-,0,Sr,1,44,1,40,-
2021-08-06T20:33:10+0200,C72cPD45RXCStSaoEc,10.1.1.155,61438,10.1.1.10,4001,tcp,-,0.005717,0,0,REJ,-,-,0,Sr,1,44,1,40,-
2021-08-06T20:33:10+0200,CV5U77U9DTdUhJHd9,10.1.1.155,61438,10.1.1.10,783,tcp,-,0.005652,0,0,REJ,-,-,0,Sr,1,44,1,40,-
2021-08-06T20:33:10+0200,CqTfugluZDLXouTrf,10.1.1.155,61438,10.1.1.10,9593,tcp,-,0.005774,0,0,REJ,-,-,0,Sr,1,44,1,40,-
2021-08-06T20:33:10+0200,C5yXoug8jWHRl2dci,10.1.1.155,61438,10.1.1.10,61900,tcp,-,0.005661,0,0,REJ,-,-,0,Sr,1,44,1,40,-
2021-08-06T20:33:10+0200,C9BsJsduqYhZzXLC1,10.1.1.155,61438,10.1.1.10,25735,tcp,-,0.005803,0,0,REJ,-,-,0,Sr,1,44,1,40,-
2021-08-06T20:33:10+0200,CzZLzG4A7uCmpJiuMl,10.1.1.155,61438,10.1.1.10,35500,tcp,-,0.005696,0,0,REJ,-,-,0,Sr,1,44,1,40,-
2021-08-06T20:33:10+0200,C9sYOe4vepNuXYPkce,10.1.1.155,61438,10.1.1.10,1080,tcp,-,0.005787,0,0,REJ,-,-,0,Sr,1,44,1,40,-
2021-08-06T20:33:10+0200,C6kn392OkN07pMhm81,10.1.1.155,61438,10.1.1.10,5631,tcp,-,0.006085,0,0,REJ,-,-,0,Sr,1,44,1,40,-
2021-08-06T20:33:10+0200,CfkMuR2B4FjKhYyqo8,10.1.1.155,61438,10.1.1.10,40911,tcp,-,0.006110,0,0,REJ,-,-,0,Sr,1,44,1,40,-
2021-08-06T20:33:10+0200,C8fSlf1m0cXqWMbJIg,10.1.1.155,61438,10.1.1.10,7000,tcp,-,0.006144,0,0,REJ,-,-,0,Sr,1,44,1,40,-
2021-08-06T20:33:10+0200,ClW67Z2Xzlg2nNFmlj,10.1.1.155,61438,10.1.1.10,50389,tcp,-,0.006191,0,0,REJ,-,-,0,Sr,1,44,1,40,-
2021-08-06T20:33:10+0200,CzPxxI2VMEPRyRhbwh,10.1.1.155,61438,10.1.1.10,1148,tcp,-,0.006234,0,0,REJ,-,-,0,Sr,1,44,1,40,-
2021-08-06T20:33:10+0200,C4Cnbu336hK3Hn7CT6,10.1.1.155,61438,10.1.1.10,2160,tcp,-,0.006249,0,0,REJ,-,-,0,Sr,1,44,1,40,-
2021-08-06T20:33:10+0200,CzuTPu4CBfah5YInV2,10.1.1.155,61438,10.1.1.10,1688,tcp,-,0.006266,0,0,REJ,-,-,0,Sr,1,44,1,40,-
2021-08-06T20:33:10+0200,Cmpy974FLGyNktDAn1,10.1.1.155,61438,10.1.1.10,1972,tcp,-,0.006388,0,0,REJ,-,-,0,Sr,1,44,1,40,-
2021-08-06T20:33:10+0200,CDaSEY2dr7zgEUxfe5,10.1.1.155,61438,10.1.1.10,61532,tcp,-,0.006281,0,0,REJ,-,-,0,Sr,1,44,1,40,-
2021-08-06T20:33:10+0200,CaCgpG3Ct6iSYR7Kkf,10.1.1.155,61438,10.1.1.10,30000,tcp,-,0.005747,0,0,REJ,-,-,0,Sr,1,44,1,40,-
2021-08-06T20:33:10+0200,CxZMkx1xpd1EP3cIF1,10.1.1.155,61438,10.1.1.10,8651,tcp,-,0.005859,0,0,REJ,-,-,0,Sr,1,44,1,40,-
2021-08-06T20:33:10+0200,Cw4S75TMWgqbnu8k,10.1.1.155,61438,10.1.1.10,20222,tcp,-,0.005832,0,0,REJ,-,-,0,Sr,1,44,1,40,-
2021-08-06T20:33:10+0200,C2AbEBdWFfHYwgC7a,10.1.1.155,61438,10.1.1.10,2500,tcp,-,0.005697,0,0,REJ,-,-,0,Sr,1,44,1,40,-
2021-08-06T20:33:10+0200,CqRRp03BsNqSuj8aee,10.1.1.155,61438,10.1.1.10,5988,tcp,-,0.005678,0,0,REJ,-,-,0,Sr,1,44,1,40,-
2021-08-06T20:33:10+0200,CM9yo81WXerYHC8Q57,10.1.1.155,61438,10.1.1.10,32771,tcp,-,0.005544,0,0,REJ,-,-,0,Sr,1,44,1,40,-
2021-08-06T20:33:10+0200,CjZtINYoJvgqvXodi,10.1.1.155,61438,10.1.1.10,5222,tcp,-,0.005538,0,0,REJ,-,-,0,Sr,1,44,1,40,-
2021-08-06T20:33:10+0200,CiWawV2q9iAniWUpHc,10.1.1.155,61438,10.1.1.10,9200,tcp,-,0.005513,0,0,REJ,-,-,0,Sr,1,44,1,40,-
2021-08-06T20:33:10+0200,CeSDr73ZGmjVzCwiN2,10.1.1.155,61438,10.1.1.10,6005,tcp,-,0.005424,0,0,REJ,-,-,0,Sr,1,44,1,40,-
2021-08-06T20:33:10+0200,C2AoeN34qujA04BZNg,10.1.1.155,61438,10.1.1.10,12345,tcp,-,0.005253,0,0,REJ,-,-,0,Sr,1,44,1,40,-
2021-08-06T20:33:10+0200,CvMUXx2TUcVN7EXFeb,10.1.1.155,61438,10.1.1.10,2035,tcp,-,0.005067,0,0,REJ,-,-,0,Sr,1,44,1,40,-
2021-08-06T20:33:10+0200,CHjXKq28RRI4q7jt2,10.1.1.155,61438,10.1.1.10,880,tcp,-,0.004964,0,0,REJ,-,-,0,Sr,1,44,1,40,-
2021-08-06T20:33:10+0200,CNrzV82FLkTuVhz624,10.1.1.155,61438,10.1.1.10,444,tcp,-,0.004758,0,0,REJ,-,-,0,Sr,1,44,1,40,-
2021-08-06T20:33:10+0200,ChFEvG1FoNNOV4Ygtb,10.1.1.155,61438,10.1.1.10,3031,tcp,-,0.004662,0,0,REJ,-,-,0,Sr,1,44,1,40,-
2021-08-06T20:33:10+0200,Ct0FSM1H7u5qidglY8,10.1.1.155,61438,10.1.1.10,56738,tcp,-,0.004586,0,0,REJ,-,-,0,Sr,1,44,1,40,-
2021-08-06T20:33:10+0200,CAPJVn4u6DTPiyk736,10.1.1.155,61438,10.1.1.10,1117,tcp,-,0.004443,0,0,REJ,-,-,0,Sr,1,44,1,40,-
